restaurant_name,review_id,review_text,review_rating,review_timestamp,reviewer_id,reviewer_total_reviews,reviewer_is_local_guide
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT21WVVEweG5XV294UkdOT1JuWnRWMHhXT0ROelRHYxAB,"Đi ăn nhà hàng hải sản sợ nhất quả cân điêu độn thêm dây buộc dày cộp ngậm nước, nhưng ở Hùng Trường Sa 328 Thái Hà thì an tâm tuyệt đối. Dây đay mỏng dính, khô ráo, cam kết cân chuẩn chỉnh.",5,2026-05-30T09:46:44.387Z,user_19650,17,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2tGTE9UQlFZV0pFV0UxMU9HZFJVakpNV21kMlZHYxAB,"Hải sản ngon nha mn tươi ăn hợp vị ghê ấy , nv nhiệt tình dễ thương",5,2026-05-30T09:46:10.497Z,user_48391,90,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT214TFlYZFRRazVxUVU1SlUzZG1XalpUVWpsbVFrRRAB,"Thái độ nhân viên hơi kém, gọi thêm đồ mà mãi không thấy mang lên. Được cái đồ ăn cứu vớt lại khá ngon.",1,2026-05-30T09:35:52.671Z,user_13930,94,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT21Fd1EySkpZVlEzUnpBNVpIbHJlbkYwVEV0aE1rRRAB,"Nước chấm hơi ngọt quá không hợp gu người Bắc lắm. Thịt nướng thơm, mềm, đóng gói cẩn thận.",5,2026-05-30T09:34:10.820Z,user_10006,107,1
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2psTFNEQjRVbkpXWWxsWlNucFNkVE53ZGtaU1pYYxAB,đồ hải sản ở đây ngon tươi hợp khẩu vị nên đếnnnn trảiii nghiệmm nhaaa mọi ngườiii,5,2026-05-30T09:32:12.828Z,user_48049,108,1
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2t0clQyRmFTVVZsV2tWcVpHZHBSbEI1TVV0QlJHYxAB,ồ chaooo đồ hải sản ngonn tươii rất hợp khẩu vị 10đ choo phục vụ hoà đồng hoạt bát rất ưng sẽ ghé lại,5,2026-05-30T09:31:57.977Z,user_55454,9,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT201M1pFUTJZbEJzWXpGUlh6QjZkRXBwYjFwMGJVRRAB,"Đồ ăn ngon,chất lượng phục vụ ok,giá cả hợp lí",5,2026-05-30T09:14:49.426Z,user_59235,59,1
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2poSFZtWlZaSGROWlZoWlFtNWpkbkJyVWtvek1GRRAB,Ai nghiên hải sản thì nhớ ghé qua đây nhé. Siêu nhiều hải sản luôn,5,2026-05-30T08:30:39.281Z,user_84150,40,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT25WU1VqQlFlbUpYVkZGWU1qWnJXVjkxU0VOV1VWRRAB,"Đồ ăn ngon, nhân viên phục vụ chu đáo nhiệt tình. Điểm trừ là cuối tuần hơi đông nên phải chờ bàn hơi lâu.",1,2026-05-30T05:23:41.623Z,user_92028,50,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT21kS1UyRXdYMmhTZVdvdFRURlVNVGxaWlVVMExVRRAB,"Nhân viên quán láo vô cùng , thái độ làm việc thiếu trách nhiệm !",1,2026-05-30T04:54:19.924Z,user_40344,79,1
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT25VdFNXa3lZbk4zUTA5aU5uUnhXRkpQY0UwNE1YYxAB,"Giao hàng nhanh shipper thân thiện, đồ ăn ngon rẻ sạch sẽ đóng gói kỹ, nên mua nha cả nhà!",5,2026-05-30T04:21:48.547Z,user_clone_67959,2,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT25wVE5rWkhUbGRYT1RWTUxUUlpUMTlLYUY5NlJuYxAB,"Phù hợp cho gia đình, tiếp khách, tiệc, sinh nhật. Không gian rộng rãi, đồ ăn phong phú, hải sản tươi.",5,2026-05-29T06:15:13.082Z,user_clone_44531,1,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2tkMWFVVnJiV1JMZFMxcmRWOHhSemRpUkVkTVZsRRAB,Hải sản rất tươi ngon,5,2026-05-27T12:03:22.099Z,user_clone_73636,2,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2paNVVsVktUMDFPVVhacVkxY3daWEkxU0d4UVFrRRAB,Đồ ăn rất ngon tuy nhiên cũng hơi đắt.,5,2026-02-24T05:28:13.205Z,user_61409,95,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2tsWmFqRTFNRmR4Y0hrMWFIRTROR1J6ZGpObk0xRRAB,"Không gian quán rộng rãi thoáng mát, view chụp ảnh khá đẹp. Món ăn lên nhanh nhưng sườn hơi dai một tí.",4,2026-02-18T16:48:46.878Z,user_34911,94,0
